record_id,cpse,cpse_material_code,cpse_description,cpse_uom,national_material_code,predicted_canonical_id,canonical_description,category,confidence,confidence_gap,conflict_count,attribute_evidence,final_decision,mapping_status
89,CPSE-B,CPSEB-809570,M16X60 CS HEX BOLT,NOS,NMC-FAST-0004,CM0004,M16 X 60 CARBON STEEL HEX BOLT,FASTENER,97.83,95.33,0,"[{""attribute"": ""diameter_mm"", ""record_value"": ""16.0"", ""canonical_value"": ""16.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""length_mm"", ""record_value"": ""60.0"", ""canonical_value"": ""60.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""size_in"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""grade"", ""record_value"": ""CS"", ""canonical_value"": ""CS"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""pressure_class"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""power_kw"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
90,CPSE-C,CPSEC-376183,3CX6 SQMM PVC CABLE 1.1KV,MTR,NMC-CABL-0005,CM0065,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.38,54.33,0,"[{""attribute"": ""diameter_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""length_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""size_in"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""grade"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""pressure_class"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": ""1100.0"", ""canonical_value"": ""1100.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""power_kw"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": ""3.0"", ""canonical_value"": ""3.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""cross_section_mm2"", ""record_value"": ""6.0"", ""canonical_value"": ""6.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
91,CPSE-C,CPSEC-765822,6 IN CS SEAMLESS PIPE SCH80,MTR,NMC-PIPE-0004,CM0034,6 IN CS SEAMLESS PIPE SCH80,PIPE,96.35,67.5,0,"[{""attribute"": ""diameter_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""length_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""size_in"", ""record_value"": ""6.0"", ""canonical_value"": ""6.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""grade"", ""record_value"": ""CS"", ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": true}, {""attribute"": ""pressure_class"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""schedule"", ""record_value"": ""80.0"", ""canonical_value"": ""80.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""voltage_v"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""power_kw"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
92,CPSE-C,CPSEC-759176,3 IN CS GTV 150 CLASS,NOS,NMC-VALV-0003,CM0023,3 IN CS GATE VALVE 150 CLASS,VALVE,92.03,68.43,0,"[{""attribute"": ""diameter_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""length_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""size_in"", ""record_value"": ""3.0"", ""canonical_value"": ""3.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""grade"", ""record_value"": ""CS"", ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": true}, {""attribute"": ""pressure_class"", ""record_value"": ""150.0"", ""canonical_value"": ""150.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""power_kw"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": ""GATE"", ""status"": ""NOT_AVAILABLE"", ""critical"": true}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
93,CPSE-C,CPSEC-351083,3 PHASE IND MTR 18.5KW 415V 50HZ,NOS,NMC-MOTR-0005,CM0075,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,MOTOR,98.69,68.52,0,"[{""attribute"": ""diameter_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""length_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""size_in"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""grade"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""pressure_class"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": ""415.0"", ""canonical_value"": ""415.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""power_kw"", ""record_value"": ""18.5"", ""canonical_value"": ""18.5"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
94,CPSE-B,CPSEB-895667,DEEP GROOVE BALL BEARING 6207,NOS,NMC-BEAR-0003,CM0013,DEEP GROOVE BALL BEARING 6207,BEARING,100.0,0.72,0,"[{""attribute"": ""diameter_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""length_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""size_in"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""grade"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""pressure_class"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""power_kw"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": ""6207.0"", ""canonical_value"": ""6207.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
95,CPSE-B,CPSEB-133326,M8X40 CS HEX BOLT,NOS,NMC-FAST-0006,CM0006,M8 X 40 CARBON STEEL HEX BOLT,FASTENER,97.75,94.87,0,"[{""attribute"": ""diameter_mm"", ""record_value"": ""8.0"", ""canonical_value"": ""8.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""length_mm"", ""record_value"": ""40.0"", ""canonical_value"": ""40.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""size_in"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""grade"", ""record_value"": ""CS"", ""canonical_value"": ""CS"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""pressure_class"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""power_kw"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
96,CPSE-C,CPSEC-814825,12 IN GRAPHITE SW GASKET 300 CLASS,NOS,NMC-GASK-0010,CM0060,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,97.1,67.5,0,"[{""attribute"": ""diameter_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""length_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""size_in"", ""record_value"": ""12.0"", ""canonical_value"": ""12.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""grade"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""pressure_class"", ""record_value"": ""300.0"", ""canonical_value"": ""300.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""power_kw"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": ""SPIRAL WOUND"", ""status"": ""NOT_AVAILABLE"", ""critical"": true}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
97,CPSE-A,CPSEA-712982,6 IN SS316 WELD NECK FLG 150 CLASS,NOS,NMC-FLG-0010,CM0050,6 IN SS316 WELD NECK FLANGE 150 CLASS,FLANGE,99.71,55.04,0,"[{""attribute"": ""diameter_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""length_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""size_in"", ""record_value"": ""6.0"", ""canonical_value"": ""6.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""grade"", ""record_value"": ""SS316"", ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": true}, {""attribute"": ""pressure_class"", ""record_value"": ""150.0"", ""canonical_value"": ""150.0"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""power_kw"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": ""WELD NECK"", ""canonical_value"": ""WELD NECK"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_size_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}]",MATCH,AUTO_MAPPED
98,CPSE-B,CPSEB-174441,ANGLE GRINDER 115MM 900W,NOS,NMC-TOOL-0002,CM0092,ANGLE GRINDER 115MM 900W,INDUSTRIAL_TOOL,100.0,100.0,0,"[{""attribute"": ""diameter_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""length_mm"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""size_in"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""grade"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""pressure_class"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""schedule"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""voltage_v"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""power_kw"", ""record_value"": ""0.9"", ""canonical_value"": ""0.9"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""flow_rate_m3h"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""head_m"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cores"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""cross_section_mm2"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""bearing_number"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""valve_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""flange_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""gasket_type"", ""record_value"": null, ""canonical_value"": null, ""status"": ""NOT_AVAILABLE"", ""critical"": false}, {""attribute"": ""tool_type"", ""record_value"": ""ANGLE GRINDER"", ""canonical_value"": ""ANGLE GRINDER"", ""status"": ""MATCH"", ""critical"": true}, {""attribute"": ""tool_size_mm"", ""record_value"": ""115.0"", ""canonical_value"": ""115.0"", ""status"": ""MATCH"", ""critical"": true}]",MATCH,AUTO_MAPPED
