canonical_id,national_material_code,category,canonical_description,material,grade,standard,diameter_mm,length_mm,size_in,pressure_class,schedule,voltage_v,power_kw,flow_rate_m3h,head_m,cores,cross_section_mm2,bearing_number,valve_type,flange_type,gasket_type,tool_type,tool_size_mm,uom,status,approval_status,source
CM0026,NMC-VALV-0006,VALVE,4 IN SS304 GATE VALVE 150 CLASS,SS304,,,,,4.0,150.0,,,,,,,,,GATE,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0027,NMC-VALV-0007,VALVE,6 IN SS316 BALL VALVE 300 CLASS,SS316,,,,,6.0,300.0,,,,,,,,,BALL,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0028,NMC-VALV-0008,VALVE,8 IN CS GATE VALVE 300 CLASS,CARBON STEEL,,,,,8.0,300.0,,,,,,,,,GATE,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0029,NMC-VALV-0009,VALVE,10 IN CS BUTTERFLY VALVE 150 CLASS,CARBON STEEL,,,,,10.0,150.0,,,,,,,,,BUTTERFLY,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0030,NMC-VALV-0010,VALVE,2 IN CS GLOBE VALVE 150 CLASS,CARBON STEEL,,,,,2.0,150.0,,,,,,,,,GLOBE,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0031,NMC-PIPE-0001,PIPE,2 IN CS SEAMLESS PIPE SCH40,CARBON STEEL,,,,,2.0,,40.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0032,NMC-PIPE-0002,PIPE,3 IN CS SEAMLESS PIPE SCH40,CARBON STEEL,,,,,3.0,,40.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0033,NMC-PIPE-0003,PIPE,4 IN SS304 SEAMLESS PIPE SCH40,SS304,,,,,4.0,,40.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0034,NMC-PIPE-0004,PIPE,6 IN CS SEAMLESS PIPE SCH80,CARBON STEEL,,,,,6.0,,80.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0035,NMC-PIPE-0005,PIPE,8 IN SS316 SEAMLESS PIPE SCH40,SS316,,,,,8.0,,40.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0036,NMC-PIPE-0006,PIPE,2 IN SS304 SEAMLESS PIPE SCH10,SS304,,,,,2.0,,10.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0037,NMC-PIPE-0007,PIPE,3 IN SS316 SEAMLESS PIPE SCH40,SS316,,,,,3.0,,40.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0038,NMC-PIPE-0008,PIPE,4 IN CS SEAMLESS PIPE SCH80,CARBON STEEL,,,,,4.0,,80.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0039,NMC-PIPE-0009,PIPE,6 IN SS304 SEAMLESS PIPE SCH40,SS304,,,,,6.0,,40.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0040,NMC-PIPE-0010,PIPE,8 IN CS SEAMLESS PIPE SCH80,CARBON STEEL,,,,,8.0,,80.0,,,,,,,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0041,NMC-FLG-0001,FLANGE,2 IN CS WELD NECK FLANGE 150 CLASS,CARBON STEEL,,,,,2.0,150.0,,,,,,,,,,WELD NECK,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0042,NMC-FLG-0002,FLANGE,2 IN SS304 WELD NECK FLANGE 150 CLASS,SS304,,,,,2.0,150.0,,,,,,,,,,WELD NECK,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0043,NMC-FLG-0003,FLANGE,3 IN CS SLIP ON FLANGE 150 CLASS,CARBON STEEL,,,,,3.0,150.0,,,,,,,,,,SLIP ON,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0044,NMC-FLG-0004,FLANGE,4 IN SS316 WELD NECK FLANGE 300 CLASS,SS316,,,,,4.0,300.0,,,,,,,,,,WELD NECK,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0045,NMC-FLG-0005,FLANGE,6 IN CS SLIP ON FLANGE 150 CLASS,CARBON STEEL,,,,,6.0,150.0,,,,,,,,,,SLIP ON,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0046,NMC-FLG-0006,FLANGE,8 IN CS WELD NECK FLANGE 300 CLASS,CARBON STEEL,,,,,8.0,300.0,,,,,,,,,,WELD NECK,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0047,NMC-FLG-0007,FLANGE,10 IN SS304 SLIP ON FLANGE 150 CLASS,SS304,,,,,10.0,150.0,,,,,,,,,,SLIP ON,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0048,NMC-FLG-0008,FLANGE,12 IN CS WELD NECK FLANGE 150 CLASS,CARBON STEEL,,,,,12.0,150.0,,,,,,,,,,WELD NECK,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0049,NMC-FLG-0009,FLANGE,4 IN SS304 SLIP ON FLANGE 300 CLASS,SS304,,,,,4.0,300.0,,,,,,,,,,SLIP ON,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0050,NMC-FLG-0010,FLANGE,6 IN SS316 WELD NECK FLANGE 150 CLASS,SS316,,,,,6.0,150.0,,,,,,,,,,WELD NECK,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0051,NMC-GASK-0001,GASKET,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,SS,,,,,2.0,150.0,,,,,,,,,,,SPIRAL WOUND,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0052,NMC-GASK-0002,GASKET,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,SS,,,,,3.0,150.0,,,,,,,,,,,SPIRAL WOUND,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0053,NMC-GASK-0003,GASKET,4 IN SPIRAL WOUND GRAPHITE GASKET 300 CLASS,GRAPHITE,,,,,4.0,300.0,,,,,,,,,,,SPIRAL WOUND,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0054,NMC-GASK-0004,GASKET,6 IN SPIRAL WOUND GRAPHITE GASKET 150 CLASS,GRAPHITE,,,,,6.0,150.0,,,,,,,,,,,SPIRAL WOUND,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0055,NMC-GASK-0005,GASKET,8 IN PTFE FULL FACE GASKET 150 CLASS,PTFE,,,,,8.0,150.0,,,,,,,,,,,FULL FACE,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0056,NMC-GASK-0006,GASKET,2 IN PTFE FULL FACE GASKET 150 CLASS,PTFE,,,,,2.0,150.0,,,,,,,,,,,FULL FACE,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0057,NMC-GASK-0007,GASKET,4 IN SS GRAPHITE GASKET 150 CLASS,SS,,,,,4.0,150.0,,,,,,,,,,,SPIRAL WOUND,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0058,NMC-GASK-0008,GASKET,6 IN PTFE FULL FACE GASKET 300 CLASS,PTFE,,,,,6.0,300.0,,,,,,,,,,,FULL FACE,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0059,NMC-GASK-0009,GASKET,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GRAPHITE,,,,,10.0,150.0,,,,,,,,,,,SPIRAL WOUND,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0060,NMC-GASK-0010,GASKET,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GRAPHITE,,,,,12.0,300.0,,,,,,,,,,,SPIRAL WOUND,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0061,NMC-CABL-0001,ELECTRICAL_CABLE,1C X 2.5 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,1.0,2.5,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0062,NMC-CABL-0002,ELECTRICAL_CABLE,1C X 4 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,1.0,4.0,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0063,NMC-CABL-0003,ELECTRICAL_CABLE,3C X 2.5 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,3.0,2.5,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0064,NMC-CABL-0004,ELECTRICAL_CABLE,3C X 4 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,3.0,4.0,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0065,NMC-CABL-0005,ELECTRICAL_CABLE,3C X 6 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,3.0,6.0,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0066,NMC-CABL-0006,ELECTRICAL_CABLE,4C X 10 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,4.0,10.0,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0067,NMC-CABL-0007,ELECTRICAL_CABLE,4C X 16 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,4.0,16.0,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0068,NMC-CABL-0008,ELECTRICAL_CABLE,4C X 25 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,4.0,25.0,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0069,NMC-CABL-0009,ELECTRICAL_CABLE,3C X 35 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,3.0,35.0,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0070,NMC-CABL-0010,ELECTRICAL_CABLE,4C X 50 SQMM PVC CABLE 1.1KV,COPPER,,,,,,,,1100.0,,,,4.0,50.0,,,,,,,MTR,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0071,NMC-MOTR-0001,MOTOR,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,CAST IRON,,,,,,,,415.0,5.5,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0072,NMC-MOTR-0002,MOTOR,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,CAST IRON,,,,,,,,415.0,7.5,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0073,NMC-MOTR-0003,MOTOR,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,CAST IRON,,,,,,,,415.0,11.0,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0074,NMC-MOTR-0004,MOTOR,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,CAST IRON,,,,,,,,415.0,15.0,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0075,NMC-MOTR-0005,MOTOR,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,CAST IRON,,,,,,,,415.0,18.5,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0076,NMC-MOTR-0006,MOTOR,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,CAST IRON,,,,,,,,415.0,22.0,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0077,NMC-MOTR-0007,MOTOR,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,CAST IRON,,,,,,,,415.0,30.0,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0078,NMC-MOTR-0008,MOTOR,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,CAST IRON,,,,,,,,415.0,37.0,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0079,NMC-MOTR-0009,MOTOR,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,CAST IRON,,,,,,,,415.0,45.0,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0080,NMC-MOTR-0010,MOTOR,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,CAST IRON,,,,,,,,415.0,55.0,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0081,NMC-PUMP-0001,PUMP,CENTRIFUGAL PUMP 20 M3/H 30M HEAD 5.5KW,CAST IRON,,,,,,,,,5.5,20.0,30.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0082,NMC-PUMP-0002,PUMP,CENTRIFUGAL PUMP 30 M3/H 40M HEAD 7.5KW,CAST IRON,,,,,,,,,7.5,30.0,40.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0083,NMC-PUMP-0003,PUMP,CENTRIFUGAL PUMP 50 M3/H 50M HEAD 11KW,CAST IRON,,,,,,,,,11.0,50.0,50.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0084,NMC-PUMP-0004,PUMP,CENTRIFUGAL PUMP 75 M3/H 40M HEAD 15KW,CAST IRON,,,,,,,,,15.0,75.0,40.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0085,NMC-PUMP-0005,PUMP,CENTRIFUGAL PUMP 100 M3/H 50M HEAD 22KW,CAST IRON,,,,,,,,,22.0,100.0,50.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0086,NMC-PUMP-0006,PUMP,CENTRIFUGAL PUMP 120 M3/H 60M HEAD 30KW,CAST IRON,,,,,,,,,30.0,120.0,60.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0087,NMC-PUMP-0007,PUMP,CENTRIFUGAL PUMP 150 M3/H 50M HEAD 37KW,CAST IRON,,,,,,,,,37.0,150.0,50.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0088,NMC-PUMP-0008,PUMP,CENTRIFUGAL PUMP 200 M3/H 60M HEAD 45KW,CAST IRON,,,,,,,,,45.0,200.0,60.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0089,NMC-PUMP-0009,PUMP,CENTRIFUGAL PUMP 250 M3/H 70M HEAD 55KW,CAST IRON,,,,,,,,,55.0,250.0,70.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0090,NMC-PUMP-0010,PUMP,CENTRIFUGAL PUMP 300 M3/H 80M HEAD 75KW,CAST IRON,,,,,,,,,75.0,300.0,80.0,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0091,NMC-TOOL-0001,INDUSTRIAL_TOOL,ANGLE GRINDER 100MM 750W,,,,,,,,,,0.75,,,,,,,,,ANGLE GRINDER,100.0,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0092,NMC-TOOL-0002,INDUSTRIAL_TOOL,ANGLE GRINDER 115MM 900W,,,,,,,,,,0.9,,,,,,,,,ANGLE GRINDER,115.0,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0093,NMC-TOOL-0003,INDUSTRIAL_TOOL,ANGLE GRINDER 125MM 1100W,,,,,,,,,,1.1,,,,,,,,,ANGLE GRINDER,125.0,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0094,NMC-TOOL-0004,INDUSTRIAL_TOOL,ELECTRIC DRILL 10MM 650W,,,,,,,,,,0.65,,,,,,,,,DRILL,10.0,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0095,NMC-TOOL-0005,INDUSTRIAL_TOOL,ELECTRIC DRILL 13MM 800W,,,,,,,,,,0.8,,,,,,,,,DRILL,13.0,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0096,NMC-TOOL-0006,INDUSTRIAL_TOOL,IMPACT WRENCH 1/2 IN 500W,,,,,,,,,,0.5,,,,,,,,,IMPACT WRENCH,12.7,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0097,NMC-TOOL-0007,INDUSTRIAL_TOOL,CUTTING MACHINE 355MM 2000W,,,,,,,,,,2.0,,,,,,,,,CUTTING MACHINE,355.0,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0098,NMC-TOOL-0008,INDUSTRIAL_TOOL,WELDING MACHINE 200A,,,,,,,,,,,,,,,,,,,WELDING MACHINE,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0099,NMC-TOOL-0009,INDUSTRIAL_TOOL,TORQUE WRENCH 50-250NM,,,,,,,,,,,,,,,,,,,TORQUE WRENCH,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0100,NMC-TOOL-0010,INDUSTRIAL_TOOL,BENCH GRINDER 200MM 550W,,,,,,,,,,0.55,,,,,,,,,BENCH GRINDER,200.0,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
