record_id,cpse,cpse_material_code,cpse_description,cpse_uom,national_material_code,canonical_description,category,confidence,confidence_gap,conflict_count,migration_status,review_required,migration_action
10,CPSE-A,CPSEA-231869,3 PHASE INDUCTION MTR 55KW 415V 50HZ,NOS,NMC-MOTR-0010,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,MOTOR,100.0,67.77,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
11,CPSE-A,CPSEA-946335,SPHERICAL ROLLER BRG 22205,NOS,NMC-BEAR-0010,SPHERICAL ROLLER BEARING 22205,BEARING,100.0,100.0,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
12,CPSE-C,CPSEC-120422,3 PHASE IND MTR 11KW 415V 50HZ,NOS,NMC-MOTR-0003,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,MOTOR,98.6,68.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
13,CPSE-A,CPSEA-325772,DEEP GROOVE BALL BRG 6307,NOS,NMC-BEAR-0006,DEEP GROOVE BALL BEARING 6307,BEARING,100.0,0.72,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
14,CPSE-C,CPSEC-379786,1CX2.5 SQMM PVC CABLE 1.1KV,MTR,NMC-CABL-0001,1C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.5,55.17,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
15,CPSE-C,CPSEC-972064,3 PHASE IND MTR 15KW 415V 50HZ,NOS,NMC-MOTR-0004,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,MOTOR,98.6,68.43,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
16,CPSE-B,CPSEB-665427,CUTTING MACHINE 355MM 2000W,NOS,NMC-TOOL-0007,CUTTING MACHINE 355MM 2000W,INDUSTRIAL_TOOL,100.0,100.0,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
17,CPSE-B,CPSEB-665579,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,NOS,NMC-MOTR-0001,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,MOTOR,100.0,67.77,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
18,CPSE-B,CPSEB-549245,"6""SS316 WELD NECK FLG 150#",NOS,NMC-FLG-0010,6 IN SS316 WELD NECK FLANGE 150 CLASS,FLANGE,97.18,67.15,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
19,CPSE-A,CPSEA-542666,2 IN PTFE FULL FACE GKT 150 CLASS,NOS,NMC-GASK-0006,2 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,99.7,7.52,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
20,CPSE-A,CPSEA-910620,6 IN SS316 BALL VLV 300 CLASS,NOS,NMC-VALV-0007,6 IN SS316 BALL VALVE 300 CLASS,VALVE,99.66,73.01,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
21,CPSE-C,CPSEC-330283,4 IN CS SEAMLESS PIPE SCH80,MTR,NMC-PIPE-0008,4 IN CS SEAMLESS PIPE SCH80,PIPE,96.35,67.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
22,CPSE-A,CPSEA-891952,CENT PMP 75 M3/H 40M HEAD 15KW,NOS,NMC-PUMP-0004,CENTRIFUGAL PUMP 75 M3/H 40M HEAD 15KW,PUMP,96.65,96.65,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
23,CPSE-B,CPSEB-865388,CENTRIF PUMP 75 M3/H 40M HEAD 15KW,NOS,NMC-PUMP-0004,CENTRIFUGAL PUMP 75 M3/H 40M HEAD 15KW,PUMP,97.67,97.67,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
24,CPSE-C,CPSEC-864544,8 IN SS316 SEAMLESS PIPE SCH40,MTR,NMC-PIPE-0005,8 IN SS316 SEAMLESS PIPE SCH40,PIPE,99.64,68.21,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
25,CPSE-A,CPSEA-456778,DEEP GROOVE BALL BRG 6306,NOS,NMC-BEAR-0005,DEEP GROOVE BALL BEARING 6306,BEARING,100.0,0.72,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
26,CPSE-C,CPSEC-446479,E-DRILL 10MM 650W,NOS,NMC-TOOL-0004,ELECTRIC DRILL 10MM 650W,INDUSTRIAL_TOOL,94.37,94.37,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
27,CPSE-B,CPSEB-354801,TORQUE WRENCH 50-250NM,NOS,NMC-TOOL-0009,TORQUE WRENCH 50-250NM,INDUSTRIAL_TOOL,100.0,100.0,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
28,CPSE-B,CPSEB-892495,"4""SPIRAL WOUND GRAPHITE GASK 300#",NOS,NMC-GASK-0003,4 IN SPIRAL WOUND GRAPHITE GASKET 300 CLASS,GASKET,94.27,2.73,0,BLOCKED,True,NO_MIGRATION
29,CPSE-B,CPSEB-234628,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,NOS,NMC-MOTR-0010,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,MOTOR,100.0,67.77,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
30,CPSE-C,CPSEC-131244,M8X40 CS HEX BOLT,NOS,NMC-FAST-0006,M8 X 40 CARBON STEEL HEX BOLT,FASTENER,97.75,94.87,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
31,CPSE-C,CPSEC-813536,8 IN PTFE FF GASKET 150 CLASS,NOS,NMC-GASK-0005,8 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,97.0,67.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
32,CPSE-A,CPSEA-717889,DEEP GROOVE BALL BRG 6206,NOS,NMC-BEAR-0002,DEEP GROOVE BALL BEARING 6206,BEARING,100.0,0.72,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
33,CPSE-A,CPSEA-688508,M20 X 100 CS HEX BOLT,NOS,NMC-FAST-0009,M20 X 100 CARBON STEEL HEX BOLT,FASTENER,97.2,95.06,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
34,CPSE-C,CPSEC-728038,3 PHASE IND MTR 7.5KW 415V 50HZ,NOS,NMC-MOTR-0002,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,MOTOR,98.65,68.48,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
35,CPSE-C,CPSEC-158655,8 IN CS SEAMLESS PIPE SCH80,MTR,NMC-PIPE-0010,8 IN CS SEAMLESS PIPE SCH80,PIPE,96.35,67.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
36,CPSE-B,CPSEB-246316,M10X75 SS316 HEX BOLT,NOS,NMC-FAST-0003,M10 X 75 SS316 HEX BOLT,FASTENER,97.14,95.46,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
37,CPSE-A,CPSEA-270555,2 IN CS SEAMLESS PIP SCH40,MTR,NMC-PIPE-0001,2 IN CS SEAMLESS PIPE SCH40,PIPE,95.26,68.18,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
38,CPSE-B,CPSEB-900581,DEEP GROOVE BALL BEARING 6307,NOS,NMC-BEAR-0006,DEEP GROOVE BALL BEARING 6307,BEARING,100.0,0.72,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
39,CPSE-B,CPSEB-838797,"6""CS BUTTERFLY VAL 150#",NOS,NMC-VALV-0005,6 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,94.47,7.83,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
40,CPSE-A,CPSEA-319684,3 IN CS SEAMLESS PIP SCH40,MTR,NMC-PIPE-0002,3 IN CS SEAMLESS PIPE SCH40,PIPE,95.26,0.75,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
41,CPSE-B,CPSEB-793384,"4""SS304 GATE VAL 150#",NOS,NMC-VALV-0006,4 IN SS304 GATE VALVE 150 CLASS,VALVE,95.64,5.55,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
42,CPSE-B,CPSEB-801474,"IMPACT WRENCH 1/2""500W",NOS,NMC-TOOL-0006,IMPACT WRENCH 1/2 IN 500W,INDUSTRIAL_TOOL,96.5,96.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
43,CPSE-A,CPSEA-581741,2 IN SS304 GATE VLV 150 CLASS,NOS,NMC-VALV-0001,2 IN SS304 GATE VALVE 150 CLASS,VALVE,99.66,5.71,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
44,CPSE-C,CPSEC-338968,4 IN SS304 GTV 150 CLASS,NOS,NMC-VALV-0006,4 IN SS304 GATE VALVE 150 CLASS,VALVE,95.58,3.36,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
45,CPSE-A,CPSEA-496922,2 IN SS304 GATE VLV 300 CLASS,NOS,NMC-VALV-0002,2 IN SS304 GATE VALVE 300 CLASS,VALVE,99.66,70.26,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
46,CPSE-A,CPSEA-897549,3 PHASE INDUCTION MTR 45KW 415V 50HZ,NOS,NMC-MOTR-0009,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,MOTOR,100.0,68.05,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
47,CPSE-B,CPSEB-189814,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,NOS,NMC-MOTR-0007,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,MOTOR,100.0,68.05,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
48,CPSE-A,CPSEA-821590,4 IN CS SEAMLESS PIP SCH80,MTR,NMC-PIPE-0008,4 IN CS SEAMLESS PIPE SCH80,PIPE,95.26,68.18,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
49,CPSE-A,CPSEA-609597,3 PHASE INDUCTION MTR 37KW 415V 50HZ,NOS,NMC-MOTR-0008,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,MOTOR,100.0,68.05,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
50,CPSE-A,CPSEA-663054,1C X 2.5 SQMM PVC CABL 1.1KV,MTR,NMC-CABL-0001,1C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,99.63,55.07,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
51,CPSE-A,CPSEA-665158,4 IN SS304 SLIP ON FLG 300 CLASS,NOS,NMC-FLG-0009,4 IN SS304 SLIP ON FLANGE 300 CLASS,FLANGE,99.7,61.69,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
52,CPSE-C,CPSEC-791798,3 PHASE IND MTR 55KW 415V 50HZ,NOS,NMC-MOTR-0010,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,MOTOR,98.6,68.17,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
53,CPSE-A,CPSEA-148050,4 IN SS304 GATE VLV 150 CLASS,NOS,NMC-VALV-0006,4 IN SS304 GATE VALVE 150 CLASS,VALVE,99.66,4.82,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
54,CPSE-A,CPSEA-595948,BENCH GRINDER 200MM 550W,NOS,NMC-TOOL-0010,BENCH GRINDER 200MM 550W,INDUSTRIAL_TOOL,100.0,100.0,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
55,CPSE-C,CPSEC-340062,A/GRINDER 125MM 1100W,NOS,NMC-TOOL-0003,ANGLE GRINDER 125MM 1100W,INDUSTRIAL_TOOL,42.57,42.57,1,BLOCKED,True,NO_MIGRATION
56,CPSE-B,CPSEB-816751,"4""SS304 SEAMLESS PIPE SCH40",MTR,NMC-PIPE-0003,4 IN SS304 SEAMLESS PIPE SCH40,PIPE,99.28,68.23,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
57,CPSE-C,CPSEC-472528,2 IN CS SEAMLESS PIPE SCH40,MTR,NMC-PIPE-0001,2 IN CS SEAMLESS PIPE SCH40,PIPE,96.35,67.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
58,CPSE-A,CPSEA-857168,3C X 6 SQMM PVC CABL 1.1KV,MTR,NMC-CABL-0005,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,99.6,55.12,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
59,CPSE-B,CPSEB-308496,M20X100 CS HEX BOLT,NOS,NMC-FAST-0009,M20 X 100 CARBON STEEL HEX BOLT,FASTENER,97.2,95.06,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
60,CPSE-B,CPSEB-955662,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,NOS,NMC-MOTR-0008,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,MOTOR,100.0,68.05,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
61,CPSE-C,CPSEC-865179,SR BRG 22205,NOS,NMC-BEAR-0010,SPHERICAL ROLLER BEARING 22205,BEARING,97.83,97.83,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
62,CPSE-A,CPSEA-334053,M10 X 75 SS316 HEX BOLT,NOS,NMC-FAST-0003,M10 X 75 SS316 HEX BOLT,FASTENER,97.14,95.46,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
63,CPSE-C,CPSEC-456699,1CX4 SQMM PVC CABLE 1.1KV,MTR,NMC-CABL-0002,1C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.38,55.05,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
64,CPSE-C,CPSEC-363626,6 IN PTFE FF GASKET 300 CLASS,NOS,NMC-GASK-0008,6 IN PTFE FULL FACE GASKET 300 CLASS,GASKET,97.0,70.23,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
65,CPSE-A,CPSEA-539898,DEEP GROOVE BALL BRG 6205,NOS,NMC-BEAR-0001,DEEP GROOVE BALL BEARING 6205,BEARING,100.0,0.72,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
66,CPSE-B,CPSEB-731262,M16X75 SS304 HEX BOLT,NOS,NMC-FAST-0008,M16 X 75 SS304 HEX BOLT,FASTENER,97.14,95.46,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
67,CPSE-B,CPSEB-804314,CENTRIF PUMP 120 M3/H 60M HEAD 30KW,NOS,NMC-PUMP-0006,CENTRIFUGAL PUMP 120 M3/H 60M HEAD 30KW,PUMP,97.73,97.73,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
68,CPSE-C,CPSEC-377370,TR BRG 30305,NOS,NMC-BEAR-0009,TAPERED ROLLER BEARING 30305,BEARING,97.83,4.51,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
69,CPSE-A,CPSEA-216970,3C X 2.5 SQMM PVC CABL 1.1KV,MTR,NMC-CABL-0003,3C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,99.63,55.07,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
70,CPSE-A,CPSEA-497887,3 IN SS316 SEAMLESS PIP SCH40,MTR,NMC-PIPE-0007,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,99.28,3.48,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
71,CPSE-A,CPSEA-380746,3 IN CS SLIP ON FLG 150 CLASS,NOS,NMC-FLG-0003,3 IN CS SLIP ON FLANGE 150 CLASS,FLANGE,97.0,53.31,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
72,CPSE-C,CPSEC-867460,3 PHASE IND MTR 30KW 415V 50HZ,NOS,NMC-MOTR-0007,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,MOTOR,98.6,68.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
73,CPSE-B,CPSEB-854639,3CX6 SQMM PVC CABLE 1.1KV,MTR,NMC-CABL-0005,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.38,54.33,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
74,CPSE-A,CPSEA-694731,4 IN SS316 WELD NECK FLG 300 CLASS,NOS,NMC-FLG-0004,4 IN SS316 WELD NECK FLANGE 300 CLASS,FLANGE,99.71,55.82,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
75,CPSE-A,CPSEA-174299,ELEC DRILL 13MM 800W,NOS,NMC-TOOL-0005,ELECTRIC DRILL 13MM 800W,INDUSTRIAL_TOOL,98.09,98.09,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
76,CPSE-B,CPSEB-344098,"8""CS GATE VAL 300#",NOS,NMC-VALV-0008,8 IN CS GATE VALVE 300 CLASS,VALVE,93.3,93.3,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
77,CPSE-A,CPSEA-498591,10 IN CS BUTTERFLY VLV 150 CLASS,NOS,NMC-VALV-0009,10 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,96.8,67.2,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
78,CPSE-A,CPSEA-407419,3 IN CS GATE VLV 150 CLASS,NOS,NMC-VALV-0003,3 IN CS GATE VALVE 150 CLASS,VALVE,96.5,68.53,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
79,CPSE-A,CPSEA-324643,CUTTING MACHINE 355MM 2000W,NOS,NMC-TOOL-0007,CUTTING MACHINE 355MM 2000W,INDUSTRIAL_TOOL,100.0,100.0,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
80,CPSE-B,CPSEB-930555,"8""PTFE FULL FACE GASK 150#",NOS,NMC-GASK-0005,8 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,93.0,93.0,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
81,CPSE-B,CPSEB-634277,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",NOS,NMC-GASK-0002,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,94.69,94.69,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
82,CPSE-B,CPSEB-329258,M12X80 SS316 HEX BOLT,NOS,NMC-FAST-0007,M12 X 80 SS316 HEX BOLT,FASTENER,97.14,95.46,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
83,CPSE-B,CPSEB-430776,"2""SS304 WELD NECK FLG 150#",NOS,NMC-FLG-0002,2 IN SS304 WELD NECK FLANGE 150 CLASS,FLANGE,97.18,2.43,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
84,CPSE-B,CPSEB-403445,"6""SS316 BALL VAL 300#",NOS,NMC-VALV-0007,6 IN SS316 BALL VALVE 300 CLASS,VALVE,95.64,8.24,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
85,CPSE-A,CPSEA-817870,6 IN SS304 SEAMLESS PIP SCH40,MTR,NMC-PIPE-0009,6 IN SS304 SEAMLESS PIPE SCH40,PIPE,99.28,68.23,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
86,CPSE-B,CPSEB-913694,"8""CS SEAMLESS PIPE SCH80",MTR,NMC-PIPE-0010,8 IN CS SEAMLESS PIPE SCH80,PIPE,97.58,67.94,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
87,CPSE-A,CPSEA-301629,6 IN CS BUTTERFLY VLV 150 CLASS,NOS,NMC-VALV-0005,6 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,97.1,67.8,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
88,CPSE-A,CPSEA-542417,M8 X 40 CS HEX BOLT,NOS,NMC-FAST-0006,M8 X 40 CARBON STEEL HEX BOLT,FASTENER,97.75,94.87,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
89,CPSE-B,CPSEB-809570,M16X60 CS HEX BOLT,NOS,NMC-FAST-0004,M16 X 60 CARBON STEEL HEX BOLT,FASTENER,97.83,95.33,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
90,CPSE-C,CPSEC-376183,3CX6 SQMM PVC CABLE 1.1KV,MTR,NMC-CABL-0005,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.38,54.33,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
91,CPSE-C,CPSEC-765822,6 IN CS SEAMLESS PIPE SCH80,MTR,NMC-PIPE-0004,6 IN CS SEAMLESS PIPE SCH80,PIPE,96.35,67.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
92,CPSE-C,CPSEC-759176,3 IN CS GTV 150 CLASS,NOS,NMC-VALV-0003,3 IN CS GATE VALVE 150 CLASS,VALVE,92.03,68.43,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
93,CPSE-C,CPSEC-351083,3 PHASE IND MTR 18.5KW 415V 50HZ,NOS,NMC-MOTR-0005,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,MOTOR,98.69,68.52,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
94,CPSE-B,CPSEB-895667,DEEP GROOVE BALL BEARING 6207,NOS,NMC-BEAR-0003,DEEP GROOVE BALL BEARING 6207,BEARING,100.0,0.72,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
95,CPSE-B,CPSEB-133326,M8X40 CS HEX BOLT,NOS,NMC-FAST-0006,M8 X 40 CARBON STEEL HEX BOLT,FASTENER,97.75,94.87,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
96,CPSE-C,CPSEC-814825,12 IN GRAPHITE SW GASKET 300 CLASS,NOS,NMC-GASK-0010,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,97.1,67.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
97,CPSE-A,CPSEA-712982,6 IN SS316 WELD NECK FLG 150 CLASS,NOS,NMC-FLG-0010,6 IN SS316 WELD NECK FLANGE 150 CLASS,FLANGE,99.71,55.04,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
98,CPSE-B,CPSEB-174441,ANGLE GRINDER 115MM 900W,NOS,NMC-TOOL-0002,ANGLE GRINDER 115MM 900W,INDUSTRIAL_TOOL,100.0,100.0,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
99,CPSE-B,CPSEB-969693,"3""CS GATE VAL 150#",NOS,NMC-VALV-0003,3 IN CS GATE VALVE 150 CLASS,VALVE,93.3,93.3,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
100,CPSE-A,CPSEA-182582,3 PHASE INDUCTION MTR 30KW 415V 50HZ,NOS,NMC-MOTR-0007,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,MOTOR,100.0,68.05,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
101,CPSE-A,CPSEA-748564,4 IN SS316 BALL VLV 150 CLASS,NOS,NMC-VALV-0004,4 IN SS316 BALL VALVE 150 CLASS,VALVE,99.66,4.82,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
102,CPSE-B,CPSEB-331148,DEEP GROOVE BALL BEARING 6205,NOS,NMC-BEAR-0001,DEEP GROOVE BALL BEARING 6205,BEARING,100.0,0.72,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
103,CPSE-A,CPSEA-905934,1C X 4 SQMM PVC CABL 1.1KV,MTR,NMC-CABL-0002,1C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,99.6,55.12,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
104,CPSE-B,CPSEB-167136,CENTRIF PUMP 250 M3/H 70M HEAD 55KW,NOS,NMC-PUMP-0009,CENTRIFUGAL PUMP 250 M3/H 70M HEAD 55KW,PUMP,97.73,97.73,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
105,CPSE-A,CPSEA-160738,3 PHASE INDUCTION MTR 22KW 415V 50HZ,NOS,NMC-MOTR-0006,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,MOTOR,100.0,68.61,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
106,CPSE-C,CPSEC-246413,10 IN SS304 SO FLG 150 CLASS,NOS,NMC-FLG-0007,10 IN SS304 SLIP ON FLANGE 150 CLASS,FLANGE,97.45,56.18,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
107,CPSE-A,CPSEA-198246,M12 X 80 SS316 HEX BOLT,NOS,NMC-FAST-0007,M12 X 80 SS316 HEX BOLT,FASTENER,97.14,95.46,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
108,CPSE-B,CPSEB-887352,1CX2.5 SQMM PVC CABLE 1.1KV,MTR,NMC-CABL-0001,1C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.5,55.17,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
109,CPSE-A,CPSEA-835911,4 IN SS304 SEAMLESS PIP SCH40,MTR,NMC-PIPE-0003,4 IN SS304 SEAMLESS PIPE SCH40,PIPE,99.28,68.23,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
