record_id,cpse,cpse_material_code,original_description,predicted_canonical_id,national_material_code,confidence,final_decision
74,CPSE-A,CPSEA-694731,4 IN SS316 WELD NECK FLG 300 CLASS,CM0044,NMMC-FLANGE-0044,99.71,MATCH
75,CPSE-A,CPSEA-174299,ELEC DRILL 13MM 800W,CM0095,NMMC-INDUSTRIAL_TOOL-0095,98.09,MATCH
76,CPSE-B,CPSEB-344098,"8""CS GATE VAL 300#",CM0028,NMMC-VALVE-0028,93.3,MATCH
77,CPSE-A,CPSEA-498591,10 IN CS BUTTERFLY VLV 150 CLASS,CM0029,NMMC-VALVE-0029,96.8,MATCH
78,CPSE-A,CPSEA-407419,3 IN CS GATE VLV 150 CLASS,CM0023,NMMC-VALVE-0023,96.5,MATCH
79,CPSE-A,CPSEA-324643,CUTTING MACHINE 355MM 2000W,CM0097,NMMC-INDUSTRIAL_TOOL-0097,100.0,MATCH
80,CPSE-B,CPSEB-930555,"8""PTFE FULL FACE GASK 150#",CM0055,NMMC-GASKET-0055,93.0,MATCH
81,CPSE-B,CPSEB-634277,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",CM0052,NMMC-GASKET-0052,94.69,MATCH
82,CPSE-B,CPSEB-329258,M12X80 SS316 HEX BOLT,CM0007,NMMC-FASTENER-0007,97.14,MATCH
83,CPSE-B,CPSEB-430776,"2""SS304 WELD NECK FLG 150#",CM0042,NMMC-FLANGE-0042,97.18,NO_MATCH
84,CPSE-B,CPSEB-403445,"6""SS316 BALL VAL 300#",CM0027,NMMC-VALVE-0027,95.64,MATCH
85,CPSE-A,CPSEA-817870,6 IN SS304 SEAMLESS PIP SCH40,CM0039,NMMC-PIPE-0039,99.28,MATCH
86,CPSE-B,CPSEB-913694,"8""CS SEAMLESS PIPE SCH80",CM0040,NMMC-PIPE-0040,97.58,MATCH
87,CPSE-A,CPSEA-301629,6 IN CS BUTTERFLY VLV 150 CLASS,CM0025,NMMC-VALVE-0025,97.1,MATCH
88,CPSE-A,CPSEA-542417,M8 X 40 CS HEX BOLT,CM0006,NMMC-FASTENER-0006,97.75,MATCH
89,CPSE-B,CPSEB-809570,M16X60 CS HEX BOLT,CM0004,NMMC-FASTENER-0004,97.83,MATCH
90,CPSE-C,CPSEC-376183,3CX6 SQMM PVC CABLE 1.1KV,CM0065,NMMC-ELECTRICAL_CABLE-0065,98.38,MATCH
91,CPSE-C,CPSEC-765822,6 IN CS SEAMLESS PIPE SCH80,CM0034,NMMC-PIPE-0034,96.35,MATCH
92,CPSE-C,CPSEC-759176,3 IN CS GTV 150 CLASS,CM0023,NMMC-VALVE-0023,92.03,MATCH
93,CPSE-C,CPSEC-351083,3 PHASE IND MTR 18.5KW 415V 50HZ,CM0075,NMMC-MOTOR-0075,98.69,MATCH
94,CPSE-B,CPSEB-895667,DEEP GROOVE BALL BEARING 6207,CM0013,NMMC-BEARING-0013,100.0,MATCH
95,CPSE-B,CPSEB-133326,M8X40 CS HEX BOLT,CM0006,NMMC-FASTENER-0006,97.75,MATCH
96,CPSE-C,CPSEC-814825,12 IN GRAPHITE SW GASKET 300 CLASS,CM0060,NMMC-GASKET-0060,97.1,MATCH
97,CPSE-A,CPSEA-712982,6 IN SS316 WELD NECK FLG 150 CLASS,CM0050,NMMC-FLANGE-0050,99.71,MATCH
98,CPSE-B,CPSEB-174441,ANGLE GRINDER 115MM 900W,CM0092,NMMC-INDUSTRIAL_TOOL-0092,100.0,MATCH
99,CPSE-B,CPSEB-969693,"3""CS GATE VAL 150#",CM0023,NMMC-VALVE-0023,93.3,MATCH
100,CPSE-A,CPSEA-182582,3 PHASE INDUCTION MTR 30KW 415V 50HZ,CM0077,NMMC-MOTOR-0077,100.0,MATCH
101,CPSE-A,CPSEA-748564,4 IN SS316 BALL VLV 150 CLASS,CM0024,NMMC-VALVE-0024,99.66,REVIEW
102,CPSE-B,CPSEB-331148,DEEP GROOVE BALL BEARING 6205,CM0011,NMMC-BEARING-0011,100.0,MATCH
103,CPSE-A,CPSEA-905934,1C X 4 SQMM PVC CABL 1.1KV,CM0062,NMMC-ELECTRICAL_CABLE-0062,99.6,MATCH
104,CPSE-B,CPSEB-167136,CENTRIF PUMP 250 M3/H 70M HEAD 55KW,CM0089,NMMC-PUMP-0089,97.73,MATCH
105,CPSE-A,CPSEA-160738,3 PHASE INDUCTION MTR 22KW 415V 50HZ,CM0076,NMMC-MOTOR-0076,100.0,MATCH
106,CPSE-C,CPSEC-246413,10 IN SS304 SO FLG 150 CLASS,CM0047,NMMC-FLANGE-0047,97.45,MATCH
107,CPSE-A,CPSEA-198246,M12 X 80 SS316 HEX BOLT,CM0007,NMMC-FASTENER-0007,97.14,MATCH
108,CPSE-B,CPSEB-887352,1CX2.5 SQMM PVC CABLE 1.1KV,CM0061,NMMC-ELECTRICAL_CABLE-0061,98.5,MATCH
109,CPSE-A,CPSEA-835911,4 IN SS304 SEAMLESS PIP SCH40,CM0033,NMMC-PIPE-0033,99.28,MATCH
110,CPSE-A,CPSEA-322955,6 IN CS SLIP ON FLG 150 CLASS,CM0045,NMMC-FLANGE-0045,97.0,MATCH
111,CPSE-B,CPSEB-226882,CENTRIF PUMP 200 M3/H 60M HEAD 45KW,CM0088,NMMC-PUMP-0088,97.73,MATCH
112,CPSE-C,CPSEC-575435,10 IN CS BFV 150 CLASS,CM0029,NMMC-VALVE-0029,91.92,MATCH
113,CPSE-C,CPSEC-665492,C/PMP 50 M3/H 50M HEAD 11KW,CM0083,NMMC-PUMP-0083,97.0,MATCH
114,CPSE-C,CPSEC-736059,C/PMP 30 M3/H 40M HEAD 7.5KW,CM0082,NMMC-PUMP-0082,97.12,MATCH
115,CPSE-C,CPSEC-983794,6 IN SS304 SEAMLESS PIPE SCH40,CM0039,NMMC-PIPE-0039,99.64,MATCH
116,CPSE-C,CPSEC-883300,4 IN SS304 SO FLG 300 CLASS,CM0049,NMMC-FLANGE-0049,97.38,MATCH
117,CPSE-B,CPSEB-698782,WELDING MACHINE 200A,CM0098,NMMC-INDUSTRIAL_TOOL-0098,100.0,REVIEW
118,CPSE-C,CPSEC-287330,4CX10 SQMM PVC CABLE 1.1KV,CM0066,NMMC-ELECTRICAL_CABLE-0066,97.67,MATCH
119,CPSE-C,CPSEC-308573,3CX35 SQMM PVC CABLE 1.1KV,CM0069,NMMC-ELECTRICAL_CABLE-0069,97.67,MATCH
120,CPSE-B,CPSEB-733052,TAPERED ROLLER BEARING 30305,CM0019,NMMC-BEARING-0019,100.0,MATCH
121,CPSE-B,CPSEB-654816,"6""PTFE FULL FACE GASK 300#",CM0058,NMMC-GASKET-0058,93.0,MATCH
122,CPSE-B,CPSEB-772097,1CX4 SQMM PVC CABLE 1.1KV,CM0062,NMMC-ELECTRICAL_CABLE-0062,98.38,MATCH
123,CPSE-C,CPSEC-166613,2 IN PTFE FF GASKET 150 CLASS,CM0056,NMMC-GASKET-0056,97.0,NO_MATCH
124,CPSE-B,CPSEB-377746,"10""SS304 SLIP ON FLG 150#",CM0047,NMMC-FLANGE-0047,94.51,MATCH
125,CPSE-B,CPSEB-847581,CENTRIF PUMP 100 M3/H 50M HEAD 22KW,CM0085,NMMC-PUMP-0085,97.73,MATCH
126,CPSE-C,CPSEC-944962,DGB BRG 6207,CM0013,NMMC-BEARING-0013,97.0,MATCH
127,CPSE-C,CPSEC-520651,2 IN SS304 WN FLG 150 CLASS,CM0042,NMMC-FLANGE-0042,97.12,NO_MATCH
128,CPSE-A,CPSEA-624902,4C X 10 SQMM PVC CABL 1.1KV,CM0066,NMMC-ELECTRICAL_CABLE-0066,99.62,MATCH
129,CPSE-B,CPSEB-639131,ELEC DRILL 13MM 800W,CM0095,NMMC-INDUSTRIAL_TOOL-0095,98.09,MATCH
130,CPSE-C,CPSEC-581141,8 IN CS WN FLG 300 CLASS,CM0046,NMMC-FLANGE-0046,94.0,MATCH
131,CPSE-B,CPSEB-684004,"4""CS SEAMLESS PIPE SCH80",CM0038,NMMC-PIPE-0038,97.58,MATCH
132,CPSE-A,CPSEA-503457,4 IN SS GRAPHITE GKT 150 CLASS,CM0057,NMMC-GASKET-0057,99.68,MATCH
133,CPSE-A,CPSEA-905635,8 IN CS SEAMLESS PIP SCH80,CM0040,NMMC-PIPE-0040,95.26,MATCH
134,CPSE-B,CPSEB-161733,ANGLE GRINDER 125MM 1100W,CM0093,NMMC-INDUSTRIAL_TOOL-0093,100.0,MATCH
135,CPSE-B,CPSEB-717024,ANGLE GRINDER 100MM 750W,CM0091,NMMC-INDUSTRIAL_TOOL-0091,100.0,MATCH
136,CPSE-C,CPSEC-617488,3 IN SW SS GRAPHITE GASKET 150 CLASS,CM0052,NMMC-GASKET-0052,97.67,MATCH
137,CPSE-C,CPSEC-813328,10 IN GRAPHITE SW GASKET 150 CLASS,CM0059,NMMC-GASKET-0059,97.1,MATCH
138,CPSE-B,CPSEB-220116,"12""GRAPHITE SPIRAL WOUND GASK 300#",CM0060,NMMC-GASKET-0060,91.76,MATCH
139,CPSE-C,CPSEC-126225,M10X50 SS304 HEX BOLT,CM0001,NMMC-FASTENER-0001,97.14,MATCH
140,CPSE-B,CPSEB-440035,"6""SS304 SEAMLESS PIPE SCH40",CM0039,NMMC-PIPE-0039,99.28,MATCH
141,CPSE-C,CPSEC-688637,12 IN CS WN FLG 150 CLASS,CM0048,NMMC-FLANGE-0048,94.17,MATCH
142,CPSE-A,CPSEA-855731,12 IN GRAPHITE SPIRAL WOUND GKT 300 CLASS,CM0060,NMMC-GASKET-0060,99.76,MATCH
143,CPSE-A,CPSEA-340174,2 IN CS WELD NECK FLG 150 CLASS,CM0041,NMMC-FLANGE-0041,97.2,NO_MATCH
144,CPSE-A,CPSEA-269396,3 PHASE INDUCTION MTR 5.5KW 415V 50HZ,CM0071,NMMC-MOTOR-0071,100.0,MATCH
145,CPSE-C,CPSEC-642717,C/PMP 150 M3/H 50M HEAD 37KW,CM0087,NMMC-PUMP-0087,97.12,MATCH
146,CPSE-B,CPSEB-169403,"3""CS SLIP ON FLG 150#",CM0043,NMMC-FLANGE-0043,95.21,MATCH
147,CPSE-C,CPSEC-172933,6 IN CS BFV 150 CLASS,CM0025,NMMC-VALVE-0025,91.67,MATCH
148,CPSE-C,CPSEC-671412,M10X30 SS304 HEX BOLT,CM0010,NMMC-FASTENER-0010,97.14,MATCH
149,CPSE-C,CPSEC-205907,8 IN CS GTV 300 CLASS,CM0028,NMMC-VALVE-0028,92.03,MATCH
150,CPSE-C,CPSEC-680828,C/PMP 300 M3/H 80M HEAD 75KW,CM0090,NMMC-PUMP-0090,97.12,MATCH
151,CPSE-C,CPSEC-584714,2 IN SS304 SEAMLESS PIPE SCH10,CM0036,NMMC-PIPE-0036,99.64,MATCH
152,CPSE-B,CPSEB-422451,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,CM0075,NMMC-MOTOR-0075,100.0,MATCH
153,CPSE-C,CPSEC-149405,4 IN SW GRAPHITE GASKET 300 CLASS,CM0053,NMMC-GASKET-0053,97.42,MATCH
154,CPSE-B,CPSEB-132938,ELEC DRILL 10MM 650W,CM0094,NMMC-INDUSTRIAL_TOOL-0094,98.09,MATCH
155,CPSE-A,CPSEA-543692,CENT PMP 50 M3/H 50M HEAD 11KW,CM0083,NMMC-PUMP-0083,96.65,MATCH
156,CPSE-A,CPSEA-945964,3 PHASE INDUCTION MTR 18.5KW 415V 50HZ,CM0075,NMMC-MOTOR-0075,100.0,MATCH
157,CPSE-C,CPSEC-678856,2 IN SS304 GTV 300 CLASS,CM0022,NMMC-VALVE-0022,95.58,MATCH
158,CPSE-A,CPSEA-632342,4C X 16 SQMM PVC CABL 1.1KV,CM0067,NMMC-ELECTRICAL_CABLE-0067,99.62,MATCH
159,CPSE-B,CPSEB-391476,"10""CS BUTTERFLY VAL 150#",CM0029,NMMC-VALVE-0029,93.24,MATCH
160,CPSE-A,CPSEA-656116,3 PHASE INDUCTION MTR 7.5KW 415V 50HZ,CM0072,NMMC-MOTOR-0072,100.0,MATCH
161,CPSE-A,CPSEA-214975,6 IN SPIRAL WOUND GRAPHITE GKT 150 CLASS,CM0054,NMMC-GASKET-0054,99.75,MATCH
162,CPSE-A,CPSEA-671858,M20 X 80 GI HEX BOLT,CM0005,NMMC-FASTENER-0005,98.09,MATCH
163,CPSE-C,CPSEC-948749,DGB BRG 6206,CM0012,NMMC-BEARING-0012,97.0,MATCH
164,CPSE-B,CPSEB-835392,M10X30 SS304 HEX BOLT,CM0010,NMMC-FASTENER-0010,97.14,MATCH
165,CPSE-B,CPSEB-881177,"12""CS WELD NECK FLG 150#",CM0048,NMMC-FLANGE-0048,94.33,MATCH
166,CPSE-C,CPSEC-349565,E-DRILL 13MM 800W,CM0095,NMMC-INDUSTRIAL_TOOL-0095,94.37,MATCH
167,CPSE-C,CPSEC-426858,C/PMP 100 M3/H 50M HEAD 22KW,CM0085,NMMC-PUMP-0085,97.12,MATCH
168,CPSE-C,CPSEC-724834,4 IN SS GRAPHITE GASKET 150 CLASS,CM0057,NMMC-GASKET-0057,99.68,MATCH
169,CPSE-A,CPSEA-201414,TAPERED ROLLER BRG 30206,CM0018,NMMC-BEARING-0018,100.0,MATCH
170,CPSE-C,CPSEC-379946,3 IN CS SEAMLESS PIPE SCH40,CM0032,NMMC-PIPE-0032,96.35,NO_MATCH
171,CPSE-B,CPSEB-492077,4CX50 SQMM PVC CABLE 1.1KV,CM0070,NMMC-ELECTRICAL_CABLE-0070,98.44,MATCH
172,CPSE-B,CPSEB-322086,CENTRIF PUMP 50 M3/H 50M HEAD 11KW,CM0083,NMMC-PUMP-0083,97.67,MATCH
173,CPSE-C,CPSEC-543143,DGB BRG 6305,CM0014,NMMC-BEARING-0014,97.0,MATCH
174,CPSE-C,CPSEC-482554,2 IN CS GLV 150 CLASS,CM0030,NMMC-VALVE-0030,92.53,NO_MATCH
175,CPSE-B,CPSEB-653306,CENTRIF PUMP 30 M3/H 40M HEAD 7.5KW,CM0082,NMMC-PUMP-0082,97.73,MATCH
176,CPSE-B,CPSEB-774079,"8""CS WELD NECK FLG 300#",CM0046,NMMC-FLANGE-0046,95.52,MATCH
177,CPSE-C,CPSEC-850800,M20X100 CS HEX BOLT,CM0009,NMMC-FASTENER-0009,97.2,MATCH
178,CPSE-C,CPSEC-704201,WELDING MACHINE 200A,CM0098,NMMC-INDUSTRIAL_TOOL-0098,100.0,REVIEW
179,CPSE-A,CPSEA-358607,12 IN CS WELD NECK FLG 150 CLASS,CM0048,NMMC-FLANGE-0048,96.9,MATCH
180,CPSE-C,CPSEC-755674,4CX16 SQMM PVC CABLE 1.1KV,CM0067,NMMC-ELECTRICAL_CABLE-0067,97.67,MATCH
181,CPSE-A,CPSEA-770487,M10 X 50 SS304 HEX BOLT,CM0001,NMMC-FASTENER-0001,97.14,MATCH
182,CPSE-B,CPSEB-716886,CENTRIF PUMP 300 M3/H 80M HEAD 75KW,CM0090,NMMC-PUMP-0090,97.73,MATCH
183,CPSE-C,CPSEC-330914,A/GRINDER 100MM 750W,CM0091,NMMC-INDUSTRIAL_TOOL-0091,42.52,NO_MATCH
184,CPSE-B,CPSEB-738720,"6""CS SEAMLESS PIPE SCH80",CM0034,NMMC-PIPE-0034,97.58,MATCH
185,CPSE-B,CPSEB-559381,CENTRIF PUMP 150 M3/H 50M HEAD 37KW,CM0087,NMMC-PUMP-0087,97.73,MATCH
186,CPSE-A,CPSEA-518373,CENT PMP 120 M3/H 60M HEAD 30KW,CM0086,NMMC-PUMP-0086,96.75,MATCH
187,CPSE-A,CPSEA-590785,6 IN PTFE FULL FACE GKT 300 CLASS,CM0058,NMMC-GASKET-0058,99.7,MATCH
188,CPSE-C,CPSEC-779514,4 IN SS304 SEAMLESS PIPE SCH40,CM0033,NMMC-PIPE-0033,99.64,MATCH
189,CPSE-A,CPSEA-106814,DEEP GROOVE BALL BRG 6207,CM0013,NMMC-BEARING-0013,100.0,MATCH
190,CPSE-B,CPSEB-662275,"2""SS304 GATE VAL 150#",CM0021,NMMC-VALVE-0021,95.64,MATCH
191,CPSE-A,CPSEA-518801,2 IN SPIRAL WOUND SS GRAPHITE GKT 150 CLASS,CM0051,NMMC-GASKET-0051,99.77,MATCH
192,CPSE-C,CPSEC-903035,3 PHASE IND MTR 45KW 415V 50HZ,CM0079,NMMC-MOTOR-0079,98.6,MATCH
193,CPSE-B,CPSEB-982554,4CX25 SQMM PVC CABLE 1.1KV,CM0068,NMMC-ELECTRICAL_CABLE-0068,97.67,MATCH
194,CPSE-C,CPSEC-273148,C/PMP 20 M3/H 30M HEAD 5.5KW,CM0081,NMMC-PUMP-0081,97.12,MATCH
195,CPSE-C,CPSEC-876646,M16X60 CS HEX BOLT,CM0004,NMMC-FASTENER-0004,97.83,MATCH
196,CPSE-C,CPSEC-922733,TORQUE WRENCH 50-250NM,CM0099,NMMC-INDUSTRIAL_TOOL-0099,100.0,REVIEW
197,CPSE-A,CPSEA-122056,CENT PMP 300 M3/H 80M HEAD 75KW,CM0090,NMMC-PUMP-0090,96.75,MATCH
198,CPSE-A,CPSEA-781453,M10 X 30 SS304 HEX BOLT,CM0010,NMMC-FASTENER-0010,97.14,MATCH
199,CPSE-A,CPSEA-217301,3 PHASE INDUCTION MTR 15KW 415V 50HZ,CM0074,NMMC-MOTOR-0074,100.0,MATCH
200,CPSE-B,CPSEB-388389,M12X50 SS304 HEX BOLT,CM0002,NMMC-FASTENER-0002,97.14,MATCH
