cpse,record_description,normalized_description,canonical_id,canonical_description,category,description_score,technical_score,category_score,conflict_count,conflicts,confidence_score,decision,candidate_rank
CPSE-B,"10""GRAPHITE SPIRAL WOUND GASK 150#",10INGRAPHITE SPIRAL WOUND GASK 150#,CM0054,6 IN SPIRAL WOUND GRAPHITE GASKET 150 CLASS,GASKET,61.54,100.0,100.0,0,,82.69,REVIEW,3
CPSE-B,"10""GRAPHITE SPIRAL WOUND GASK 150#",10INGRAPHITE SPIRAL WOUND GASK 150#,CM0059,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GASKET,60.76,100.0,100.0,0,,82.34,REVIEW,4
CPSE-B,"10""GRAPHITE SPIRAL WOUND GASK 150#",10INGRAPHITE SPIRAL WOUND GASK 150#,CM0060,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,60.76,100.0,100.0,0,,82.34,REVIEW,5
CPSE-B,"10""GRAPHITE SPIRAL WOUND GASK 150#",10INGRAPHITE SPIRAL WOUND GASK 150#,CM0053,4 IN SPIRAL WOUND GRAPHITE GASKET 300 CLASS,GASKET,58.97,100.0,100.0,0,,81.54,REVIEW,6
CPSE-B,"10""GRAPHITE SPIRAL WOUND GASK 150#",10INGRAPHITE SPIRAL WOUND GASK 150#,CM0057,4 IN SS GRAPHITE GASKET 150 CLASS,GASKET,41.18,100.0,100.0,0,,73.53,REVIEW,7
CPSE-B,"10""SS304 SLIP ON FLG 150#",10INSS304 SLIP ON FLANGE 150#,CM0047,10 IN SS304 SLIP ON FLANGE 150 CLASS,FLANGE,73.85,100.0,100.0,0,,88.23,MATCH,1
CPSE-B,"10""SS304 SLIP ON FLG 150#",10INSS304 SLIP ON FLANGE 150#,CM0049,4 IN SS304 SLIP ON FLANGE 300 CLASS,FLANGE,71.88,100.0,100.0,0,,87.34,MATCH,2
CPSE-B,"10""SS304 SLIP ON FLG 150#",10INSS304 SLIP ON FLANGE 150#,CM0043,3 IN CS SLIP ON FLANGE 150 CLASS,FLANGE,65.57,100.0,100.0,0,,84.51,REVIEW,3
CPSE-B,"10""SS304 SLIP ON FLG 150#",10INSS304 SLIP ON FLANGE 150#,CM0045,6 IN CS SLIP ON FLANGE 150 CLASS,FLANGE,65.57,100.0,100.0,0,,84.51,REVIEW,4
CPSE-A,12 IN CS WELD NECK FLG 150 CLASS,12IN CARBON STEEL WELD NECK FLANGE 150 CLASS,CM0048,12 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,85.25,100.0,100.0,0,,93.36,MATCH,1
CPSE-C,12 IN CS WN FLG 150 CLASS,12IN CARBON STEEL WN FLANGE 150 CLASS,CM0048,12 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,72.22,100.0,100.0,0,,87.5,MATCH,1
CPSE-A,12 IN GRAPHITE SPIRAL WOUND GKT 300 CLASS,12IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,CM0060,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,98.85,100.0,100.0,0,,99.48,MATCH,1
CPSE-C,12 IN GRAPHITE SW GASKET 300 CLASS,12IN GRAPHITE SW GASKET 300 CLASS,CM0060,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,86.21,100.0,100.0,0,,93.79,MATCH,1
CPSE-B,"12""CS WELD NECK FLG 150#",12INCS WELD NECK FLANGE 150#,CM0048,12 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,73.02,100.0,100.0,0,,87.86,MATCH,1
CPSE-B,"12""CS WELD NECK FLG 150#",12INCS WELD NECK FLANGE 150#,CM0041,2 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,72.73,100.0,100.0,0,,87.73,MATCH,2
CPSE-B,"12""CS WELD NECK FLG 150#",12INCS WELD NECK FLANGE 150#,CM0042,2 IN SS304 WELD NECK FLANGE 150 CLASS,FLANGE,72.73,100.0,100.0,0,,87.73,MATCH,3
CPSE-B,"12""CS WELD NECK FLG 150#",12INCS WELD NECK FLANGE 150#,CM0044,4 IN SS316 WELD NECK FLANGE 300 CLASS,FLANGE,72.73,100.0,100.0,0,,87.73,MATCH,4
CPSE-B,"12""CS WELD NECK FLG 150#",12INCS WELD NECK FLANGE 150#,CM0046,8 IN CS WELD NECK FLANGE 300 CLASS,FLANGE,72.73,100.0,100.0,0,,87.73,MATCH,5
CPSE-B,"12""CS WELD NECK FLG 150#",12INCS WELD NECK FLANGE 150#,CM0050,6 IN SS316 WELD NECK FLANGE 150 CLASS,FLANGE,72.73,100.0,100.0,0,,87.73,MATCH,6
CPSE-B,"12""GRAPHITE SPIRAL WOUND GASK 300#",12INGRAPHITE SPIRAL WOUND GASK 300#,CM0051,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,64.2,100.0,100.0,0,,83.89,REVIEW,1
CPSE-B,"12""GRAPHITE SPIRAL WOUND GASK 300#",12INGRAPHITE SPIRAL WOUND GASK 300#,CM0052,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,61.73,100.0,100.0,0,,82.78,REVIEW,2
CPSE-B,"12""GRAPHITE SPIRAL WOUND GASK 300#",12INGRAPHITE SPIRAL WOUND GASK 300#,CM0060,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,60.76,100.0,100.0,0,,82.34,REVIEW,3
CPSE-B,"12""GRAPHITE SPIRAL WOUND GASK 300#",12INGRAPHITE SPIRAL WOUND GASK 300#,CM0054,6 IN SPIRAL WOUND GRAPHITE GASKET 150 CLASS,GASKET,58.97,100.0,100.0,0,,81.54,REVIEW,4
CPSE-B,"12""GRAPHITE SPIRAL WOUND GASK 300#",12INGRAPHITE SPIRAL WOUND GASK 300#,CM0059,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GASKET,58.23,100.0,100.0,0,,81.2,REVIEW,5
CPSE-B,"12""GRAPHITE SPIRAL WOUND GASK 300#",12INGRAPHITE SPIRAL WOUND GASK 300#,CM0053,4 IN SPIRAL WOUND GRAPHITE GASKET 300 CLASS,GASKET,56.41,100.0,100.0,0,,80.38,REVIEW,6
CPSE-B,"12""GRAPHITE SPIRAL WOUND GASK 300#",12INGRAPHITE SPIRAL WOUND GASK 300#,CM0057,4 IN SS GRAPHITE GASKET 150 CLASS,GASKET,38.24,100.0,100.0,0,,72.21,REVIEW,7
CPSE-A,1C X 2.5 SQMM PVC CABL 1.1KV,1C X 2.5 SQMM PVC CABL 1.1KV,CM0061,1C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.25,100.0,100.0,0,,99.21,MATCH,1
CPSE-A,1C X 4 SQMM PVC CABL 1.1KV,1C X 4 SQMM PVC CABL 1.1KV,CM0062,1C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.11,100.0,100.0,0,,99.15,MATCH,1
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0062,1C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,92.31,100.0,100.0,0,,96.54,MATCH,1
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0062,1C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,92.31,100.0,100.0,0,,96.54,MATCH,2
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0066,4C X 10 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,90.57,100.0,100.0,0,,95.75,MATCH,3
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0067,4C X 16 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,90.57,100.0,100.0,0,,95.75,MATCH,4
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0066,4C X 10 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,90.57,100.0,100.0,0,,95.75,MATCH,5
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0067,4C X 16 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,90.57,100.0,100.0,0,,95.75,MATCH,6
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0061,1C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,7
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0063,3C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,8
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0064,3C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,9
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0065,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,10
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0068,4C X 25 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,11
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0069,3C X 35 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,12
CPSE-C,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0070,4C X 50 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,13
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0061,1C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,14
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0063,3C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,15
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0064,3C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,16
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0065,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,17
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0068,4C X 25 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,18
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0069,3C X 35 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,19
CPSE-B,1CX4 SQMM PVC CABLE 1.1KV,1CX4 SQMM PVC CABLE 1.1KV,CM0070,4C X 50 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,20
CPSE-A,2 IN CS GLOBE VLV 150 CLASS,2IN CARBON STEEL GLOBE VALVE 150 CLASS,CM0030,2 IN CS GLOBE VALVE 150 CLASS,VALVE,84.0,100.0,100.0,0,,92.8,MATCH,1
CPSE-C,2 IN CS GLV 150 CLASS,2IN CARBON STEEL GLV 150 CLASS,CM0030,2 IN CS GLOBE VALVE 150 CLASS,VALVE,64.41,100.0,100.0,0,,83.98,REVIEW,1
CPSE-C,2 IN CS GLV 150 CLASS,2IN CARBON STEEL GLV 150 CLASS,CM0021,2 IN SS304 GATE VALVE 150 CLASS,VALVE,59.02,100.0,100.0,0,,81.56,REVIEW,2
CPSE-A,2 IN CS SEAMLESS PIP SCH40,2IN CARBON STEEL SEAMLESS PIP SCH40,CM0031,2 IN CS SEAMLESS PIPE SCH40,PIPE,77.42,100.0,100.0,0,,89.84,MATCH,1
CPSE-C,2 IN CS SEAMLESS PIPE SCH40,2IN CARBON STEEL SEAMLESS PIPE SCH40,CM0031,2 IN CS SEAMLESS PIPE SCH40,PIPE,82.61,100.0,100.0,0,,92.17,MATCH,1
CPSE-A,2 IN CS WELD NECK FLG 150 CLASS,2IN CARBON STEEL WELD NECK FLANGE 150 CLASS,CM0041,2 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,86.67,100.0,100.0,0,,94.0,MATCH,1
CPSE-A,2 IN CS WELD NECK FLG 150 CLASS,2IN CARBON STEEL WELD NECK FLANGE 150 CLASS,CM0042,2 IN SS304 WELD NECK FLANGE 150 CLASS,FLANGE,82.54,100.0,100.0,0,,92.14,MATCH,2
CPSE-C,2 IN CS WN FLG 150 CLASS,2IN CARBON STEEL WN FLANGE 150 CLASS,CM0041,2 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,71.43,100.0,100.0,0,,87.14,MATCH,1
CPSE-C,2 IN CS WN FLG 150 CLASS,2IN CARBON STEEL WN FLANGE 150 CLASS,CM0042,2 IN SS304 WELD NECK FLANGE 150 CLASS,FLANGE,71.23,100.0,100.0,0,,87.05,MATCH,2
CPSE-C,2 IN PTFE FF GASKET 150 CLASS,2IN PTFE FF GASKET 150 CLASS,CM0056,2 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,85.71,100.0,100.0,0,,93.57,MATCH,1
CPSE-A,2 IN PTFE FULL FACE GKT 150 CLASS,2IN PTFE FULL FACE GASKET 150 CLASS,CM0056,2 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,98.59,100.0,100.0,0,,99.37,MATCH,1
CPSE-A,2 IN SPIRAL WOUND SS GRAPHITE GKT 150 CLASS,2IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,CM0051,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,98.9,100.0,100.0,0,,99.51,MATCH,1
CPSE-A,2 IN SS304 GATE VLV 150 CLASS,2IN SS304 GATE VALVE 150 CLASS,CM0021,2 IN SS304 GATE VALVE 150 CLASS,VALVE,98.36,100.0,100.0,0,,99.26,MATCH,1
CPSE-A,2 IN SS304 GATE VLV 300 CLASS,2IN SS304 GATE VALVE 300 CLASS,CM0022,2 IN SS304 GATE VALVE 300 CLASS,VALVE,98.36,100.0,100.0,0,,99.26,MATCH,1
CPSE-C,2 IN SS304 GTV 150 CLASS,2IN SS304 GTV 150 CLASS,CM0021,2 IN SS304 GATE VALVE 150 CLASS,VALVE,78.95,100.0,100.0,0,,90.53,MATCH,1
CPSE-C,2 IN SS304 GTV 150 CLASS,2IN SS304 GTV 150 CLASS,CM0030,2 IN CS GLOBE VALVE 150 CLASS,VALVE,57.69,100.0,100.0,0,,80.96,REVIEW,2
CPSE-C,2 IN SS304 GTV 300 CLASS,2IN SS304 GTV 300 CLASS,CM0022,2 IN SS304 GATE VALVE 300 CLASS,VALVE,78.95,100.0,100.0,0,,90.53,MATCH,1
CPSE-A,2 IN SS304 SEAMLESS PIP SCH10,2IN SS304 SEAMLESS PIP SCH10,CM0036,2 IN SS304 SEAMLESS PIPE SCH10,PIPE,96.55,100.0,100.0,0,,98.45,MATCH,1
CPSE-C,2 IN SS304 SEAMLESS PIPE SCH10,2IN SS304 SEAMLESS PIPE SCH10,CM0036,2 IN SS304 SEAMLESS PIPE SCH10,PIPE,98.31,100.0,100.0,0,,99.24,MATCH,1
CPSE-A,2 IN SS304 WELD NECK FLG 150 CLASS,2IN SS304 WELD NECK FLANGE 150 CLASS,CM0042,2 IN SS304 WELD NECK FLANGE 150 CLASS,FLANGE,98.63,100.0,100.0,0,,99.38,MATCH,1
CPSE-A,2 IN SS304 WELD NECK FLG 150 CLASS,2IN SS304 WELD NECK FLANGE 150 CLASS,CM0041,2 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,86.67,100.0,100.0,0,,94.0,MATCH,2
CPSE-C,2 IN SS304 WN FLG 150 CLASS,2IN SS304 WN FLANGE 150 CLASS,CM0042,2 IN SS304 WELD NECK FLANGE 150 CLASS,FLANGE,86.27,100.0,100.0,0,,93.82,MATCH,1
CPSE-C,2 IN SS304 WN FLG 150 CLASS,2IN SS304 WN FLANGE 150 CLASS,CM0041,2 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,73.02,100.0,100.0,0,,87.86,MATCH,2
CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0051,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,88.89,100.0,100.0,0,,95.0,MATCH,1
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0030,2 IN CS GLOBE VALVE 150 CLASS,VALVE,69.39,0.0,100.0,0,,41.22,NO_MATCH,1
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0021,2 IN SS304 GATE VALVE 150 CLASS,VALVE,54.9,0.0,100.0,0,,34.71,NO_MATCH,2
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0023,3 IN CS GATE VALVE 150 CLASS,VALVE,54.17,0.0,100.0,0,,34.38,NO_MATCH,3
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0026,4 IN SS304 GATE VALVE 150 CLASS,VALVE,50.98,0.0,100.0,0,,32.94,NO_MATCH,4
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0028,8 IN CS GATE VALVE 300 CLASS,VALVE,45.83,0.0,100.0,0,,30.62,NO_MATCH,5
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0022,2 IN SS304 GATE VALVE 300 CLASS,VALVE,43.14,0.0,100.0,0,,29.41,NO_MATCH,6
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0024,4 IN SS316 BALL VALVE 150 CLASS,VALVE,43.14,0.0,100.0,0,,29.41,NO_MATCH,7
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0025,6 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,41.51,0.0,100.0,0,,28.68,NO_MATCH,8
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0029,10 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,40.74,0.0,100.0,0,,28.33,NO_MATCH,9
CPSE-B,"2""CS GLOBE VAL 150#",2INCS GLOBE VAL 150#,CM0027,6 IN SS316 BALL VALVE 300 CLASS,VALVE,35.29,0.0,100.0,0,,25.88,NO_MATCH,10
CPSE-B,"2""CS SEAMLESS PIPE SCH40",2INCS SEAMLESS PIPE SCH40,CM0031,2 IN CS SEAMLESS PIPE SCH40,PIPE,88.46,100.0,100.0,0,,94.81,MATCH,1
CPSE-B,"2""CS SEAMLESS PIPE SCH40",2INCS SEAMLESS PIPE SCH40,CM0032,3 IN CS SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,2
CPSE-B,"2""CS SEAMLESS PIPE SCH40",2INCS SEAMLESS PIPE SCH40,CM0033,4 IN SS304 SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,3
CPSE-B,"2""CS SEAMLESS PIPE SCH40",2INCS SEAMLESS PIPE SCH40,CM0035,8 IN SS316 SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,4
CPSE-B,"2""CS SEAMLESS PIPE SCH40",2INCS SEAMLESS PIPE SCH40,CM0037,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,5
CPSE-B,"2""CS SEAMLESS PIPE SCH40",2INCS SEAMLESS PIPE SCH40,CM0039,6 IN SS304 SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,6
CPSE-B,"2""CS WELD NECK FLG 150#",2INCS WELD NECK FLANGE 150#,CM0041,2 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,78.69,100.0,100.0,0,,90.41,MATCH,1
CPSE-B,"2""CS WELD NECK FLG 150#",2INCS WELD NECK FLANGE 150#,CM0042,2 IN SS304 WELD NECK FLANGE 150 CLASS,FLANGE,78.12,100.0,100.0,0,,90.16,MATCH,2
CPSE-B,"2""CS WELD NECK FLG 150#",2INCS WELD NECK FLANGE 150#,CM0050,6 IN SS316 WELD NECK FLANGE 150 CLASS,FLANGE,75.0,100.0,100.0,0,,88.75,MATCH,3
CPSE-B,"2""CS WELD NECK FLG 150#",2INCS WELD NECK FLANGE 150#,CM0044,4 IN SS316 WELD NECK FLANGE 300 CLASS,FLANGE,74.42,100.0,100.0,0,,88.49,MATCH,4
CPSE-B,"2""CS WELD NECK FLG 150#",2INCS WELD NECK FLANGE 150#,CM0046,8 IN CS WELD NECK FLANGE 300 CLASS,FLANGE,74.42,100.0,100.0,0,,88.49,MATCH,5
CPSE-B,"2""CS WELD NECK FLG 150#",2INCS WELD NECK FLANGE 150#,CM0048,12 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,74.42,100.0,100.0,0,,88.49,MATCH,6
CPSE-B,"2""PTFE FULL FACE GASK 150#",2INPTFE FULL FACE GASK 150#,CM0056,2 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,66.67,100.0,100.0,0,,85.0,MATCH,1
CPSE-B,"2""PTFE FULL FACE GASK 150#",2INPTFE FULL FACE GASK 150#,CM0055,8 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,63.49,100.0,100.0,0,,83.57,REVIEW,2
CPSE-B,"2""PTFE FULL FACE GASK 150#",2INPTFE FULL FACE GASK 150#,CM0058,6 IN PTFE FULL FACE GASKET 300 CLASS,GASKET,57.14,100.0,100.0,0,,80.71,REVIEW,3
CPSE-B,"2""SPIRAL WOUND SS GRAPHITE GASK 150#",2INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0051,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,74.7,100.0,100.0,0,,88.61,MATCH,1
CPSE-B,"2""SPIRAL WOUND SS GRAPHITE GASK 150#",2INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0052,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,72.29,100.0,100.0,0,,87.53,MATCH,2
CPSE-B,"2""SPIRAL WOUND SS GRAPHITE GASK 150#",2INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0057,4 IN SS GRAPHITE GASKET 150 CLASS,GASKET,68.57,100.0,100.0,0,,85.86,MATCH,3
CPSE-B,"2""SPIRAL WOUND SS GRAPHITE GASK 150#",2INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0054,6 IN SPIRAL WOUND GRAPHITE GASKET 150 CLASS,GASKET,67.5,100.0,100.0,0,,85.38,MATCH,4
